,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
0,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,60.0,30.0,12.0,72.0,-9.5367431640625e-07,9.0
1,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,35.0,20.0,6.0,41.0,-0.13689088821411133,8.0
2,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,60.0,30.0,12.0,72.0,-0.09610486030578613,9.0
3,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,72.0,38.0,6.0,78.0,-0.2659940719604492,25.0
4,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,73.0,35.0,6.0,79.0,-0.2270042896270752,9.0
5,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,51.0,59.0,67.0,118.0,-15.430678844451904,17.0
6,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.1,34.0,22.0,6.0,40.0,-0.07312607765197754,13.0
7,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,47.0,24.0,17.0,64.0,0.0,6.0
8,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,35.0,24.0,9.0,44.0,-0.07193708419799805,4.0
9,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,47.0,24.0,17.0,64.0,-0.01873016357421875,6.0
10,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,44.0,30.0,7.0,51.0,-0.1656491756439209,14.0
11,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,52.0,34.0,7.0,59.0,-0.1282212734222412,6.0
12,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,33.0,52.0,45.0,78.0,-12.611836910247803,11.0
13,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.2,40.0,30.0,7.0,47.0,-0.0723578929901123,16.0
14,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,46.0,35.0,12.0,58.0,-9.5367431640625e-07,18.0
15,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,29.0,19.0,6.0,35.0,-0.09619474411010742,9.0
16,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,40.0,32.0,12.0,52.0,-0.0188140869140625,12.0
17,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,53.0,41.0,6.0,59.0,-0.15004801750183105,31.0
18,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,42.0,34.0,6.0,48.0,-0.21983599662780762,12.0
19,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,63.0,87.0,83.0,146.0,-21.06864881515503,21.0
20,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.3,42.0,31.0,6.0,48.0,-0.10679173469543457,21.0
21,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,60.0,37.0,12.0,72.0,-9.5367431640625e-07,20.0
22,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,69.0,37.0,8.0,77.0,-0.12886404991149902,11.0
23,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,56.0,36.0,12.0,68.0,-0.025846004486083984,16.0
24,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,88.0,60.0,8.0,96.0,-0.20845389366149902,47.0
25,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,86.0,52.0,8.0,94.0,-0.15328502655029297,16.0
26,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,57.0,78.0,77.0,134.0,-33.26292586326599,19.0
27,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.4,48.0,41.0,8.0,56.0,-0.0877530574798584,23.0
28,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,63.0,41.0,9.0,72.0,-1.1920928955078125e-06,26.0
29,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,48.0,34.0,7.0,55.0,-0.13225889205932617,18.0
30,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,61.0,41.0,9.0,70.0,-0.024631738662719727,24.0
31,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,79.0,57.0,7.0,86.0,-0.21589183807373047,41.0
32,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,99.0,57.0,7.0,106.0,-0.15321588516235352,24.0
33,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,93.0,137.0,121.0,214.0,-98.83595395088196,31.0
34,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.5,56.0,47.0,7.0,63.0,-0.08060574531555176,29.0
35,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,59.0,35.0,7.0,66.0,0.0,29.0
36,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,44.0,31.0,5.0,49.0,-0.10183095932006836,19.0
37,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,55.0,33.0,7.0,62.0,-0.02207469940185547,25.0
38,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,69.0,47.0,5.0,74.0,-0.18239998817443848,41.0
39,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,76.0,42.0,5.0,81.0,-0.1405317783355713,25.0
40,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,54.0,76.0,74.0,128.0,-47.33060097694397,18.0
41,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.6,33.0,23.0,5.0,38.0,-0.08111906051635742,14.0
42,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,56.0,42.0,4.0,60.0,-9.5367431640625e-07,38.0
43,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,38.0,27.0,4.0,42.0,-0.12153816223144531,19.0
44,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,50.0,38.0,4.0,54.0,-0.02454209327697754,32.0
45,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,72.0,56.0,4.0,76.0,-0.3430910110473633,54.0
46,voqc,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,61.0,41.0,4.0,65.0,-0.2683901786804199,26.0
47,qfast,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,48.0,71.0,66.0,114.0,-36.644193172454834,16.0
48,pyzx,50.0,4.0,cnot_pr/i_0_cnot_pr_0.7,40.0,31.0,4.0,44.0,-0.08308577537536621,21.0
49,default,50.0,4.0,cnot_pr/i_0_cnot_pr_0.8,51.0,39.0,3.0,54.0,-9.5367431640625e-07,42.0
50,tket,50.0,4.0,cnot_pr/i_0_cnot_pr_0.8,27.0,22.0,3.0,30.0,-0.18888378143310547,18.0
51,qiskit,50.0,4.0,cnot_pr/i_0_cnot_pr_0.8,45.0,35.0,3.0,48.0,-0.0349879264831543,36.0
52,tpar,50.0,4.0,cnot_pr/i_0_cnot_pr_0.8,33.0,28.0,3.0,36.0,-0.21002602577209473,24.0
