,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,38.0,26.0,24.0,62.0,0.1,0.0,-4.76837158203125e-07,4.0
1,tket,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,18.0,13.0,8.0,26.0,0.1,0.0,-0.04674577713012695,2.0
2,qiskit,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,36.0,24.0,24.0,60.0,0.1,0.0,-0.013388872146606445,2.0
3,tpar,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,30.0,25.0,8.0,38.0,0.1,0.0,-0.06287598609924316,6.0
4,voqc,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,30.0,22.0,8.0,38.0,0.1,0.0,-0.0925893783569336,2.0
5,qfast,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,30.0,43.0,40.0,70.0,0.1,0.0,-2.6463043689727783,10.0
6,pyzx,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,18.0,16.0,8.0,26.0,0.1,0.0,-0.05320549011230469,6.0
7,default,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,77.0,49.0,7.0,84.0,0.1,0.0,-7.152557373046875e-07,6.0
8,tket,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,29.0,20.0,5.0,34.0,0.1,0.0,-0.0492098331451416,6.0
9,qiskit,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,77.0,49.0,7.0,84.0,0.1,0.0,-0.017331361770629883,6.0
10,tpar,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,51.0,32.0,5.0,56.0,0.1,0.0,-0.06817913055419922,8.0
11,voqc,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,86.0,60.0,5.0,91.0,0.1,0.0,-0.10797905921936035,6.0
12,qfast,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,21.0,30.0,29.0,50.0,0.1,0.0,-1.9418067932128906,7.0
13,pyzx,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,24.0,19.0,3.0,27.0,0.1,0.0,-0.06257510185241699,14.0
14,default,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,64.0,31.0,16.0,80.0,0.1,0.0,-7.152557373046875e-07,8.0
15,tket,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,45.0,25.0,10.0,55.0,0.1,0.0,-0.05131268501281738,8.0
16,qiskit,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,64.0,31.0,16.0,80.0,0.1,0.0,-0.018945932388305664,8.0
17,tpar,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,61.0,36.0,10.0,71.0,0.1,0.0,-0.07227587699890137,16.0
18,voqc,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,79.0,35.0,10.0,89.0,0.1,0.0,-0.10930967330932617,8.0
19,qfast,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,39.0,64.0,55.0,94.0,0.1,0.0,-11.283713817596436,13.0
20,pyzx,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,47.0,34.0,10.0,57.0,0.1,0.0,-0.06509208679199219,20.0
21,default,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,75.0,30.0,9.0,84.0,0.1,0.0,-4.76837158203125e-07,4.0
22,tket,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,37.0,26.0,7.0,44.0,0.1,0.0,-0.050071001052856445,4.0
23,qiskit,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,75.0,30.0,9.0,84.0,0.1,0.0,-0.017618417739868164,4.0
24,tpar,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,73.0,41.0,7.0,80.0,0.1,0.0,-0.07299327850341797,16.0
25,voqc,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,76.0,36.0,5.0,81.0,0.1,0.0,-0.10345220565795898,4.0
26,qfast,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,27.0,30.0,37.0,64.0,0.1,0.0,-3.1187551021575928,9.0
27,pyzx,50.0,4.0,default/cnot_pr/i_3_cnot_pr_0.1,25.0,17.0,5.0,30.0,0.1,0.0,-0.05598163604736328,9.0
