,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/gate_count/i_0_cnt_50,65.0,35.0,11.0,76.0,0.0,0.0,-7.152557373046875e-07,10.0
1,tket,50.0,4.0,default/gate_count/i_0_cnt_50,33.0,16.0,5.0,38.0,0.0,0.0,-0.05277419090270996,5.0
2,qiskit,50.0,4.0,default/gate_count/i_0_cnt_50,63.0,33.0,11.0,74.0,0.0,0.0,-0.11551427841186523,8.0
3,tpar,50.0,4.0,default/gate_count/i_0_cnt_50,48.0,25.0,5.0,53.0,0.0,0.0,-0.06615281105041504,10.0
4,voqc,50.0,4.0,default/gate_count/i_0_cnt_50,67.0,36.0,5.0,72.0,0.0,0.0,-0.1134335994720459,6.0
5,qfast,50.0,4.0,default/gate_count/i_0_cnt_50,42.0,57.0,58.0,100.0,0.0,0.0,-12.09532880783081,14.0
6,pyzx,50.0,4.0,default/gate_count/i_0_cnt_50,39.0,30.0,5.0,44.0,0.0,0.0,-0.06148934364318848,20.0
7,default,50.0,4.0,default/gate_count/i_1_cnt_50,57.0,39.0,17.0,74.0,0.0,0.0,-7.152557373046875e-07,8.0
8,tket,50.0,4.0,default/gate_count/i_1_cnt_50,36.0,23.0,11.0,47.0,0.0,0.0,-0.10993313789367676,7.0
9,qiskit,50.0,4.0,default/gate_count/i_1_cnt_50,57.0,39.0,17.0,74.0,0.0,0.0,-0.0164797306060791,8.0
10,tpar,50.0,4.0,default/gate_count/i_1_cnt_50,72.0,45.0,11.0,83.0,0.0,0.0,-0.07579398155212402,26.0
11,voqc,50.0,4.0,default/gate_count/i_1_cnt_50,63.0,40.0,11.0,74.0,0.0,0.0,-0.10587143898010254,8.0
12,qfast,50.0,4.0,default/gate_count/i_1_cnt_50,66.0,101.0,88.0,154.0,0.0,0.0,-19.71862769126892,22.0
13,pyzx,50.0,4.0,default/gate_count/i_1_cnt_50,56.0,44.0,11.0,67.0,0.0,0.0,-0.06786322593688965,25.0
14,default,50.0,4.0,default/gate_count/i_2_cnt_50,56.0,33.0,12.0,68.0,0.0,0.0,-7.152557373046875e-07,17.0
15,tket,50.0,4.0,default/gate_count/i_2_cnt_50,42.0,25.0,6.0,48.0,0.0,0.0,-0.11134076118469238,10.0
16,qiskit,50.0,4.0,default/gate_count/i_2_cnt_50,54.0,32.0,12.0,66.0,0.0,0.0,-0.019424915313720703,15.0
17,tpar,50.0,4.0,default/gate_count/i_2_cnt_50,74.0,57.0,6.0,80.0,0.0,0.0,-0.07551789283752441,42.0
18,voqc,50.0,4.0,default/gate_count/i_2_cnt_50,76.0,44.0,6.0,82.0,0.0,0.0,-0.11092615127563477,15.0
19,qfast,50.0,4.0,default/gate_count/i_2_cnt_50,60.0,93.0,80.0,140.0,0.0,0.0,-15.131179332733154,20.0
20,pyzx,50.0,4.0,default/gate_count/i_2_cnt_50,45.0,33.0,6.0,51.0,0.0,0.0,-0.0645287036895752,20.0
21,default,50.0,4.0,default/gate_count/i_3_cnt_50,61.0,34.0,15.0,76.0,0.0,0.0,-7.152557373046875e-07,10.0
22,tket,50.0,4.0,default/gate_count/i_3_cnt_50,44.0,29.0,12.0,56.0,0.0,0.0,-0.05163383483886719,8.0
23,qiskit,50.0,4.0,default/gate_count/i_3_cnt_50,61.0,34.0,15.0,76.0,0.0,0.0,-0.016573429107666016,10.0
24,tpar,50.0,4.0,default/gate_count/i_3_cnt_50,72.0,45.0,7.0,79.0,0.0,0.0,-0.07360219955444336,38.0
25,voqc,50.0,4.0,default/gate_count/i_3_cnt_50,77.0,44.0,7.0,84.0,0.0,0.0,-0.10580873489379883,10.0
26,qfast,50.0,4.0,default/gate_count/i_3_cnt_50,48.0,68.0,66.0,114.0,0.0,0.0,-10.575013399124146,16.0
27,pyzx,50.0,4.0,default/gate_count/i_3_cnt_50,34.0,30.0,7.0,41.0,0.0,0.0,-0.05943036079406738,13.0
28,default,50.0,4.0,default/gate_count/i_4_cnt_50,65.0,38.0,11.0,76.0,0.0,0.0,-4.76837158203125e-07,11.0
29,tket,50.0,4.0,default/gate_count/i_4_cnt_50,46.0,25.0,9.0,55.0,0.0,0.0,-0.05072617530822754,9.0
30,qiskit,50.0,4.0,default/gate_count/i_4_cnt_50,65.0,38.0,11.0,76.0,0.0,0.0,-0.017310142517089844,11.0
31,tpar,50.0,4.0,default/gate_count/i_4_cnt_50,62.0,43.0,5.0,67.0,0.0,0.0,-0.06963062286376953,22.0
32,voqc,50.0,4.0,default/gate_count/i_4_cnt_50,94.0,56.0,5.0,99.0,0.0,0.0,-0.11353516578674316,11.0
33,qfast,50.0,4.0,default/gate_count/i_4_cnt_50,36.0,47.0,50.0,86.0,0.0,0.0,-5.360856533050537,12.0
34,pyzx,50.0,4.0,default/gate_count/i_4_cnt_50,29.0,18.0,3.0,32.0,0.0,0.0,-0.05945897102355957,9.0
35,default,50.0,4.0,default/gate_count/i_5_cnt_50,53.0,34.0,13.0,66.0,0.0,0.0,-7.152557373046875e-07,11.0
36,tket,50.0,4.0,default/gate_count/i_5_cnt_50,29.0,20.0,7.0,36.0,0.0,0.0,-0.05019640922546387,7.0
37,qiskit,50.0,4.0,default/gate_count/i_5_cnt_50,51.0,32.0,13.0,64.0,0.0,0.0,-0.016138315200805664,9.0
38,tpar,50.0,4.0,default/gate_count/i_5_cnt_50,68.0,45.0,7.0,75.0,0.0,0.0,-0.07376718521118164,33.0
39,voqc,50.0,4.0,default/gate_count/i_5_cnt_50,44.0,32.0,7.0,51.0,0.0,0.0,-0.09871578216552734,9.0
40,qfast,50.0,4.0,default/gate_count/i_5_cnt_50,36.0,52.0,50.0,86.0,0.0,0.0,-6.650800943374634,12.0
41,pyzx,50.0,4.0,default/gate_count/i_5_cnt_50,34.0,25.0,7.0,41.0,0.0,0.0,-0.05943703651428223,17.0
42,default,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-7.152557373046875e-07,5.0
43,tket,50.0,4.0,default/gate_count/i_6_cnt_50,35.0,19.0,5.0,40.0,0.0,0.0,-0.10863113403320312,5.0
44,qiskit,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-0.0170285701751709,5.0
45,tpar,50.0,4.0,default/gate_count/i_6_cnt_50,66.0,36.0,5.0,71.0,0.0,0.0,-0.07034111022949219,19.0
46,voqc,50.0,4.0,default/gate_count/i_6_cnt_50,77.0,38.0,5.0,82.0,0.0,0.0,-0.10408592224121094,5.0
47,qfast,50.0,4.0,default/gate_count/i_6_cnt_50,63.0,94.0,81.0,144.0,0.0,0.0,-9.34803581237793,21.0
48,pyzx,50.0,4.0,default/gate_count/i_6_cnt_50,35.0,26.0,5.0,40.0,0.0,0.0,-0.0605928897857666,13.0
49,default,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-9.5367431640625e-07,12.0
50,tket,50.0,4.0,default/gate_count/i_7_cnt_50,41.0,20.0,3.0,44.0,0.0,0.0,-0.11203455924987793,9.0
51,qiskit,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-0.018397092819213867,12.0
52,tpar,50.0,4.0,default/gate_count/i_7_cnt_50,98.0,74.0,3.0,101.0,0.0,0.0,-0.0794839859008789,58.0
53,voqc,50.0,4.0,default/gate_count/i_7_cnt_50,64.0,29.0,3.0,67.0,0.0,0.0,-0.10594058036804199,12.0
54,qfast,50.0,4.0,default/gate_count/i_7_cnt_50,30.0,50.0,42.0,72.0,0.0,0.0,-6.218674898147583,10.0
55,pyzx,50.0,4.0,default/gate_count/i_7_cnt_50,34.0,26.0,3.0,37.0,0.0,0.0,-0.06132197380065918,15.0
56,default,50.0,4.0,default/gate_count/i_8_cnt_50,60.0,38.0,10.0,70.0,0.0,0.0,-9.5367431640625e-07,17.0
57,tket,50.0,4.0,default/gate_count/i_8_cnt_50,55.0,32.0,13.0,68.0,0.0,0.0,-0.11808419227600098,9.0
