,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,41.0,14.0,70.0,0.0,0.0,-4.76837158203125e-07,13.0
1,tket,50.0,3.0,default/qubits/i_0_num_qubits_3,46.0,29.0,4.0,50.0,0.0,0.0,-0.11195063591003418,8.0
2,qiskit,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,41.0,14.0,70.0,0.0,0.0,-0.017293930053710938,13.0
3,tpar,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,37.0,4.0,60.0,0.0,0.0,-0.06930875778198242,20.0
4,voqc,50.0,3.0,default/qubits/i_0_num_qubits_3,77.0,54.0,4.0,81.0,0.0,0.0,-0.10602784156799316,13.0
5,qfast,50.0,3.0,default/qubits/i_0_num_qubits_3,18.0,25.0,21.0,39.0,0.0,0.0,-0.706610918045044,6.0
6,pyzx,50.0,3.0,default/qubits/i_0_num_qubits_3,26.0,27.0,4.0,30.0,0.0,0.0,-0.058042287826538086,14.0
7,default,50.0,3.0,default/qubits/i_1_num_qubits_3,64.0,57.0,16.0,80.0,0.0,0.0,-9.5367431640625e-07,12.0
8,tket,50.0,3.0,default/qubits/i_1_num_qubits_3,45.0,25.0,8.0,53.0,0.0,0.0,-0.11078929901123047,6.0
9,qiskit,50.0,3.0,default/qubits/i_1_num_qubits_3,62.0,56.0,16.0,78.0,0.0,0.0,-0.01820683479309082,10.0
10,tpar,50.0,3.0,default/qubits/i_1_num_qubits_3,62.0,55.0,8.0,70.0,0.0,0.0,-0.07110190391540527,22.0
11,voqc,50.0,3.0,default/qubits/i_1_num_qubits_3,74.0,50.0,8.0,82.0,0.0,0.0,-0.10545802116394043,8.0
12,qfast,50.0,3.0,default/qubits/i_1_num_qubits_3,24.0,35.0,27.0,51.0,0.0,0.0,-1.4951355457305908,8.0
13,pyzx,50.0,3.0,default/qubits/i_1_num_qubits_3,21.0,22.0,8.0,29.0,0.0,0.0,-0.05757761001586914,7.0
14,default,50.0,3.0,default/qubits/i_2_num_qubits_3,61.0,49.0,13.0,74.0,0.0,0.0,-4.76837158203125e-07,13.0
15,tket,50.0,3.0,default/qubits/i_2_num_qubits_3,48.0,29.0,5.0,53.0,0.0,0.0,-0.11152410507202148,8.0
16,qiskit,50.0,3.0,default/qubits/i_2_num_qubits_3,61.0,49.0,13.0,74.0,0.0,0.0,-0.01782083511352539,13.0
17,tpar,50.0,3.0,default/qubits/i_2_num_qubits_3,51.0,42.0,5.0,56.0,0.0,0.0,-0.06798624992370605,16.0
18,voqc,50.0,3.0,default/qubits/i_2_num_qubits_3,87.0,73.0,5.0,92.0,0.0,0.0,-0.10847759246826172,11.0
19,qfast,50.0,3.0,default/qubits/i_2_num_qubits_3,18.0,23.0,15.0,33.0,0.0,0.0,-0.17565131187438965,5.0
20,pyzx,50.0,3.0,default/qubits/i_2_num_qubits_3,27.0,23.0,5.0,32.0,0.0,0.0,-0.059609174728393555,12.0
21,default,50.0,3.0,default/qubits/i_3_num_qubits_3,58.0,39.0,12.0,70.0,0.0,0.0,-4.76837158203125e-07,15.0
