,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/tprob/i_0_t_pr_0.1,64.0,43.0,8.0,72.0,0.0,0.1,-4.76837158203125e-07,18.0
1,tket,50.0,4.0,default/tprob/i_0_t_pr_0.1,51.0,32.0,4.0,55.0,0.0,0.1,-0.05492830276489258,10.0
2,qiskit,50.0,4.0,default/tprob/i_0_t_pr_0.1,62.0,41.0,8.0,70.0,0.0,0.1,-0.018700838088989258,16.0
3,tpar,50.0,4.0,default/tprob/i_0_t_pr_0.1,75.0,56.0,4.0,79.0,0.0,0.1,-0.077484130859375,34.0
4,voqc,50.0,4.0,default/tprob/i_0_t_pr_0.1,93.0,64.0,4.0,97.0,0.0,0.1,-0.11144328117370605,16.0
5,qfast,50.0,4.0,default/tprob/i_0_t_pr_0.1,63.0,98.0,83.0,146.0,0.0,0.1,-19.72981095314026,21.0
6,pyzx,50.0,4.0,default/tprob/i_0_t_pr_0.1,51.0,36.0,4.0,55.0,0.0,0.1,-0.12952017784118652,29.0
7,default,50.0,4.0,default/tprob/i_1_t_pr_0.1,72.0,37.0,8.0,80.0,0.0,0.1,-7.152557373046875e-07,17.0
8,tket,50.0,4.0,default/tprob/i_1_t_pr_0.1,39.0,28.0,4.0,43.0,0.0,0.1,-0.05555295944213867,11.0
9,qiskit,50.0,4.0,default/tprob/i_1_t_pr_0.1,72.0,37.0,8.0,80.0,0.0,0.1,-0.019271373748779297,17.0
10,tpar,50.0,4.0,default/tprob/i_1_t_pr_0.1,82.0,51.0,4.0,86.0,0.0,0.1,-0.07899069786071777,40.0
11,voqc,50.0,4.0,default/tprob/i_1_t_pr_0.1,96.0,54.0,4.0,100.0,0.0,0.1,-0.11289668083190918,17.0
12,qfast,50.0,4.0,default/tprob/i_1_t_pr_0.1,51.0,73.0,69.0,120.0,0.0,0.1,-6.508376598358154,17.0
13,pyzx,50.0,4.0,default/tprob/i_1_t_pr_0.1,42.0,27.0,4.0,46.0,0.0,0.1,-0.12523674964904785,23.0
14,default,50.0,4.0,default/tprob/i_2_t_pr_0.1,88.0,44.0,6.0,94.0,0.0,0.1,-4.76837158203125e-07,9.0
15,tket,50.0,4.0,default/tprob/i_2_t_pr_0.1,41.0,22.0,7.0,48.0,0.0,0.1,-0.052256107330322266,7.0
16,qiskit,50.0,4.0,default/tprob/i_2_t_pr_0.1,88.0,44.0,6.0,94.0,0.0,0.1,-0.01796579360961914,9.0
17,tpar,50.0,4.0,default/tprob/i_2_t_pr_0.1,61.0,35.0,4.0,65.0,0.0,0.1,-0.0702977180480957,15.0
18,voqc,50.0,4.0,default/tprob/i_2_t_pr_0.1,108.0,59.0,4.0,112.0,0.0,0.1,-0.11002755165100098,9.0
19,qfast,50.0,4.0,default/tprob/i_2_t_pr_0.1,18.0,28.0,26.0,44.0,0.0,0.1,-1.8346896171569824,6.0
20,pyzx,50.0,4.0,default/tprob/i_2_t_pr_0.1,24.0,14.0,2.0,26.0,0.0,0.1,-0.11860775947570801,8.0
21,default,50.0,4.0,default/tprob/i_3_t_pr_0.1,58.0,39.0,8.0,66.0,0.0,0.1,-4.76837158203125e-07,21.0
22,tket,50.0,4.0,default/tprob/i_3_t_pr_0.1,50.0,35.0,6.0,56.0,0.0,0.1,-0.05710887908935547,13.0
23,qiskit,50.0,4.0,default/tprob/i_3_t_pr_0.1,58.0,39.0,8.0,66.0,0.0,0.1,-0.0180814266204834,21.0
