,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
0,default,10.0,4.0,gate_count/i_0_cnt_10,12.0,9.0,4.0,16.0,-1.52587890625e-05,2.0
1,tket,10.0,4.0,gate_count/i_0_cnt_10,11.0,6.0,2.0,13.0,-0.05966067314147949,2.0
2,qiskit,10.0,4.0,gate_count/i_0_cnt_10,12.0,9.0,4.0,16.0,-0.17360615730285645,2.0
3,tpar,10.0,4.0,gate_count/i_0_cnt_10,13.0,8.0,2.0,15.0,-0.0933847427368164,2.0
4,voqc,10.0,4.0,gate_count/i_0_cnt_10,15.0,9.0,2.0,17.0,-0.19462013244628906,2.0
5,qfast,10.0,4.0,gate_count/i_0_cnt_10,21.0,28.0,29.0,50.0,-1.8301072120666504,7.0
6,pyzx,10.0,4.0,gate_count/i_0_cnt_10,7.0,5.0,2.0,9.0,-0.06782031059265137,2.0
7,default,10.0,4.0,gate_count/i_1_cnt_10,13.0,8.0,3.0,16.0,-8.821487426757812e-06,1.0
8,tket,10.0,4.0,gate_count/i_1_cnt_10,10.0,6.0,3.0,13.0,-0.0749063491821289,1.0
9,qiskit,10.0,4.0,gate_count/i_1_cnt_10,13.0,8.0,3.0,16.0,-0.02075958251953125,1.0
10,tpar,10.0,4.0,gate_count/i_1_cnt_10,9.0,5.0,3.0,12.0,-0.17067575454711914,1.0
11,voqc,10.0,4.0,gate_count/i_1_cnt_10,20.0,13.0,3.0,23.0,-0.1452159881591797,1.0
12,qfast,10.0,4.0,gate_count/i_1_cnt_10,18.0,30.0,24.0,42.0,-1.1939396858215332,6.0
13,pyzx,10.0,4.0,gate_count/i_1_cnt_10,11.0,5.0,3.0,14.0,-0.06574726104736328,1.0
14,default,20.0,4.0,gate_count/i_0_cnt_20,28.0,16.0,4.0,32.0,-9.298324584960938e-06,5.0
15,tket,20.0,4.0,gate_count/i_0_cnt_20,23.0,14.0,4.0,27.0,-0.07617068290710449,4.0
16,qiskit,20.0,4.0,gate_count/i_0_cnt_20,28.0,16.0,4.0,32.0,-0.016849279403686523,5.0
17,tpar,20.0,4.0,gate_count/i_0_cnt_20,26.0,16.0,4.0,30.0,-0.08445191383361816,7.0
18,voqc,20.0,4.0,gate_count/i_0_cnt_20,41.0,22.0,4.0,45.0,-0.20726490020751953,5.0
19,qfast,20.0,4.0,gate_count/i_0_cnt_20,27.0,35.0,37.0,64.0,-4.815418481826782,9.0
20,pyzx,20.0,4.0,gate_count/i_0_cnt_20,28.0,22.0,4.0,32.0,-0.07312321662902832,12.0
21,default,20.0,4.0,gate_count/i_1_cnt_20,34.0,18.0,2.0,36.0,-8.821487426757812e-06,5.0
22,tket,20.0,4.0,gate_count/i_1_cnt_20,29.0,14.0,0.0,29.0,-0.0826106071472168,5.0
