,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
0,default,50.0,3.0,qubits/i_0_num_qubits_3,58.0,47.0,14.0,72.0,-4.76837158203125e-07,13.0
1,tket,50.0,3.0,qubits/i_0_num_qubits_3,49.0,39.0,11.0,60.0,-0.11325502395629883,8.0
2,qiskit,50.0,3.0,qubits/i_0_num_qubits_3,58.0,47.0,14.0,72.0,-0.01765918731689453,13.0
3,tpar,50.0,3.0,qubits/i_0_num_qubits_3,74.0,67.0,8.0,82.0,-0.07567238807678223,35.0
4,voqc,50.0,3.0,qubits/i_0_num_qubits_3,85.0,61.0,8.0,93.0,-0.10973882675170898,11.0
5,qfast,50.0,3.0,qubits/i_0_num_qubits_3,24.0,38.0,27.0,51.0,-0.845883846282959,8.0
6,pyzx,50.0,3.0,qubits/i_0_num_qubits_3,35.0,35.0,8.0,43.0,-0.06446695327758789,17.0
7,default,50.0,3.0,qubits/i_1_num_qubits_3,53.0,41.0,15.0,68.0,-7.152557373046875e-07,15.0
8,tket,50.0,3.0,qubits/i_1_num_qubits_3,37.0,24.0,5.0,42.0,-0.049310922622680664,7.0
9,qiskit,50.0,3.0,qubits/i_1_num_qubits_3,51.0,39.0,15.0,66.0,-0.016881704330444336,13.0
10,tpar,50.0,3.0,qubits/i_1_num_qubits_3,52.0,42.0,5.0,57.0,-0.06970715522766113,23.0
11,voqc,50.0,3.0,qubits/i_1_num_qubits_3,59.0,42.0,5.0,64.0,-0.10144448280334473,9.0
12,qfast,50.0,3.0,qubits/i_1_num_qubits_3,23.0,33.0,22.0,45.0,-0.3102109432220459,7.0
13,pyzx,50.0,3.0,qubits/i_1_num_qubits_3,25.0,24.0,3.0,28.0,-0.05821681022644043,10.0
14,default,50.0,3.0,qubits/i_2_num_qubits_3,83.0,52.0,9.0,92.0,-4.76837158203125e-07,12.0
15,tket,50.0,3.0,qubits/i_2_num_qubits_3,43.0,27.0,7.0,50.0,-0.11250162124633789,7.0
16,qiskit,50.0,3.0,qubits/i_2_num_qubits_3,83.0,52.0,9.0,92.0,-0.01977086067199707,12.0
17,tpar,50.0,3.0,qubits/i_2_num_qubits_3,65.0,43.0,7.0,72.0,-0.07264876365661621,13.0
18,voqc,50.0,3.0,qubits/i_2_num_qubits_3,116.0,70.0,7.0,123.0,-0.11456799507141113,10.0
19,qfast,50.0,3.0,qubits/i_2_num_qubits_3,21.0,30.0,24.0,45.0,-0.30501604080200195,7.0
20,pyzx,50.0,3.0,qubits/i_2_num_qubits_3,25.0,21.0,7.0,32.0,-0.05944323539733887,7.0
21,default,50.0,3.0,qubits/i_3_num_qubits_3,66.0,44.0,14.0,80.0,-7.152557373046875e-07,10.0
22,tket,50.0,3.0,qubits/i_3_num_qubits_3,32.0,24.0,13.0,45.0,-0.11221075057983398,4.0
23,qiskit,50.0,3.0,qubits/i_3_num_qubits_3,66.0,44.0,14.0,80.0,-0.018987655639648438,10.0
24,tpar,50.0,3.0,qubits/i_3_num_qubits_3,68.0,53.0,8.0,76.0,-0.07200407981872559,14.0
25,voqc,50.0,3.0,qubits/i_3_num_qubits_3,95.0,72.0,8.0,103.0,-0.11103510856628418,10.0
26,qfast,50.0,3.0,qubits/i_3_num_qubits_3,27.0,27.0,18.0,45.0,-0.7668194770812988,7.0
27,pyzx,50.0,3.0,qubits/i_3_num_qubits_3,42.0,44.0,8.0,50.0,-0.06289005279541016,17.0
28,default,50.0,3.0,qubits/i_4_num_qubits_3,53.0,38.0,15.0,68.0,-4.76837158203125e-07,15.0
29,tket,50.0,3.0,qubits/i_4_num_qubits_3,27.0,22.0,7.0,34.0,-0.1102297306060791,9.0
30,qiskit,50.0,3.0,qubits/i_4_num_qubits_3,49.0,36.0,15.0,64.0,-0.0161745548248291,11.0
31,tpar,50.0,3.0,qubits/i_4_num_qubits_3,52.0,40.0,7.0,59.0,-0.06964874267578125,24.0
32,voqc,50.0,3.0,qubits/i_4_num_qubits_3,69.0,45.0,7.0,76.0,-0.10432267189025879,11.0
33,qfast,50.0,3.0,qubits/i_4_num_qubits_3,22.0,30.0,23.0,45.0,-1.0036578178405762,7.0
34,pyzx,50.0,3.0,qubits/i_4_num_qubits_3,28.0,26.0,7.0,35.0,-0.05685758590698242,12.0
35,default,50.0,3.0,qubits/i_5_num_qubits_3,66.0,44.0,16.0,82.0,-7.152557373046875e-07,8.0
36,tket,50.0,3.0,qubits/i_5_num_qubits_3,54.0,37.0,10.0,64.0,-0.11404776573181152,6.0
37,qiskit,50.0,3.0,qubits/i_5_num_qubits_3,66.0,44.0,16.0,82.0,-0.01803421974182129,8.0
38,tpar,50.0,3.0,qubits/i_5_num_qubits_3,67.0,56.0,10.0,77.0,-0.07303714752197266,23.0
39,voqc,50.0,3.0,qubits/i_5_num_qubits_3,95.0,69.0,10.0,105.0,-0.11014938354492188,8.0
40,qfast,50.0,3.0,qubits/i_5_num_qubits_3,29.0,37.0,28.0,57.0,-1.978135585784912,9.0
41,pyzx,50.0,3.0,qubits/i_5_num_qubits_3,40.0,42.0,10.0,50.0,-0.06384396553039551,15.0
42,default,50.0,3.0,qubits/i_6_num_qubits_3,63.0,43.0,17.0,80.0,-7.152557373046875e-07,8.0
43,tket,50.0,3.0,qubits/i_6_num_qubits_3,34.0,20.0,7.0,41.0,-0.10704517364501953,6.0
44,qiskit,50.0,3.0,qubits/i_6_num_qubits_3,63.0,43.0,17.0,80.0,-0.017452478408813477,8.0
45,tpar,50.0,3.0,qubits/i_6_num_qubits_3,58.0,41.0,9.0,67.0,-0.07018780708312988,12.0
46,voqc,50.0,3.0,qubits/i_6_num_qubits_3,73.0,52.0,9.0,82.0,-0.10494065284729004,6.0
47,qfast,50.0,3.0,qubits/i_6_num_qubits_3,15.0,23.0,18.0,33.0,-0.33166027069091797,5.0
48,pyzx,50.0,3.0,qubits/i_6_num_qubits_3,28.0,22.0,5.0,33.0,-0.06058812141418457,11.0
49,default,50.0,3.0,qubits/i_7_num_qubits_3,63.0,42.0,11.0,74.0,-7.152557373046875e-07,11.0
50,tket,50.0,3.0,qubits/i_7_num_qubits_3,32.0,21.0,5.0,37.0,-0.11068415641784668,7.0
51,qiskit,50.0,3.0,qubits/i_7_num_qubits_3,63.0,42.0,11.0,74.0,-0.01858210563659668,11.0
52,tpar,50.0,3.0,qubits/i_7_num_qubits_3,68.0,53.0,5.0,73.0,-0.07344508171081543,29.0
53,voqc,50.0,3.0,qubits/i_7_num_qubits_3,75.0,54.0,5.0,80.0,-0.10491704940795898,11.0
54,qfast,50.0,3.0,qubits/i_7_num_qubits_3,16.0,23.0,17.0,33.0,-0.3261749744415283,5.0
55,pyzx,50.0,3.0,qubits/i_7_num_qubits_3,23.0,26.0,5.0,28.0,-0.0563051700592041,10.0
56,default,50.0,3.0,qubits/i_8_num_qubits_3,71.0,38.0,15.0,86.0,-1.1920928955078125e-06,6.0
57,tket,50.0,3.0,qubits/i_8_num_qubits_3,38.0,27.0,11.0,49.0,-0.10938310623168945,5.0
58,qiskit,50.0,3.0,qubits/i_8_num_qubits_3,71.0,38.0,15.0,86.0,-0.01793074607849121,6.0
59,tpar,50.0,3.0,qubits/i_8_num_qubits_3,58.0,29.0,7.0,65.0,-0.07002472877502441,6.0
60,voqc,50.0,3.0,qubits/i_8_num_qubits_3,93.0,47.0,7.0,100.0,-0.1093895435333252,6.0
61,qfast,50.0,3.0,qubits/i_8_num_qubits_3,24.0,32.0,27.0,51.0,-0.979790449142456,8.0
62,pyzx,50.0,3.0,qubits/i_8_num_qubits_3,31.0,35.0,7.0,38.0,-0.06137681007385254,14.0
63,default,50.0,3.0,qubits/i_9_num_qubits_3,77.0,37.0,13.0,90.0,-4.76837158203125e-07,8.0
64,tket,50.0,3.0,qubits/i_9_num_qubits_3,54.0,32.0,13.0,67.0,-0.11265873908996582,5.0
65,qiskit,50.0,3.0,qubits/i_9_num_qubits_3,77.0,37.0,13.0,90.0,-0.01892995834350586,8.0
66,tpar,50.0,3.0,qubits/i_9_num_qubits_3,76.0,45.0,9.0,85.0,-0.07452607154846191,18.0
67,voqc,50.0,3.0,qubits/i_9_num_qubits_3,112.0,55.0,9.0,121.0,-0.11423897743225098,8.0
68,qfast,50.0,3.0,qubits/i_9_num_qubits_3,15.0,23.0,18.0,33.0,-0.3345520496368408,5.0
69,pyzx,50.0,3.0,qubits/i_9_num_qubits_3,32.0,28.0,7.0,39.0,-0.06239891052246094,11.0
70,default,50.0,3.0,qubits/i_10_num_qubits_3,57.0,45.0,15.0,72.0,-7.152557373046875e-07,13.0
71,tket,50.0,3.0,qubits/i_10_num_qubits_3,37.0,27.0,11.0,48.0,-0.1114048957824707,6.0
72,qiskit,50.0,3.0,qubits/i_10_num_qubits_3,55.0,43.0,15.0,70.0,-0.017492055892944336,11.0
73,tpar,50.0,3.0,qubits/i_10_num_qubits_3,75.0,66.0,7.0,82.0,-0.07667422294616699,33.0
74,voqc,50.0,3.0,qubits/i_10_num_qubits_3,69.0,55.0,7.0,76.0,-0.10522747039794922,11.0
75,qfast,50.0,3.0,qubits/i_10_num_qubits_3,23.0,27.0,22.0,45.0,-0.5240581035614014,7.0
76,pyzx,50.0,3.0,qubits/i_10_num_qubits_3,33.0,33.0,7.0,40.0,-0.060524940490722656,17.0
77,default,50.0,3.0,qubits/i_11_num_qubits_3,59.0,42.0,15.0,74.0,-9.5367431640625e-07,10.0
78,tket,50.0,3.0,qubits/i_11_num_qubits_3,44.0,30.0,7.0,51.0,-0.10998678207397461,8.0
79,qiskit,50.0,3.0,qubits/i_11_num_qubits_3,59.0,42.0,15.0,74.0,-0.016219377517700195,10.0
80,tpar,50.0,3.0,qubits/i_11_num_qubits_3,57.0,47.0,7.0,64.0,-0.07056856155395508,18.0
81,voqc,50.0,3.0,qubits/i_11_num_qubits_3,73.0,55.0,7.0,80.0,-0.10541009902954102,10.0
82,qfast,50.0,3.0,qubits/i_11_num_qubits_3,24.0,32.0,27.0,51.0,-1.4175398349761963,8.0
83,pyzx,50.0,3.0,qubits/i_11_num_qubits_3,38.0,36.0,7.0,45.0,-0.06109762191772461,16.0
84,default,50.0,3.0,qubits/i_12_num_qubits_3,48.0,35.0,18.0,66.0,-7.152557373046875e-07,15.0
85,tket,50.0,3.0,qubits/i_12_num_qubits_3,57.0,36.0,13.0,70.0,-0.11286115646362305,10.0
86,qiskit,50.0,3.0,qubits/i_12_num_qubits_3,46.0,35.0,18.0,64.0,-0.01706671714782715,13.0
87,tpar,50.0,3.0,qubits/i_12_num_qubits_3,68.0,58.0,10.0,78.0,-0.07711410522460938,37.0
88,voqc,50.0,3.0,qubits/i_12_num_qubits_3,66.0,43.0,10.0,76.0,-0.10921382904052734,13.0
89,qfast,50.0,3.0,qubits/i_12_num_qubits_3,30.0,39.0,33.0,63.0,-2.149050235748291,10.0
90,pyzx,50.0,3.0,qubits/i_12_num_qubits_3,44.0,42.0,10.0,54.0,-0.06723690032958984,22.0
91,default,50.0,3.0,qubits/i_13_num_qubits_3,54.0,45.0,18.0,72.0,-4.76837158203125e-07,11.0
92,tket,50.0,3.0,qubits/i_13_num_qubits_3,40.0,31.0,8.0,48.0,-0.04997897148132324,8.0
93,qiskit,50.0,3.0,qubits/i_13_num_qubits_3,54.0,45.0,18.0,72.0,-0.017639636993408203,11.0
94,tpar,50.0,3.0,qubits/i_13_num_qubits_3,70.0,55.0,10.0,80.0,-0.0766758918762207,33.0
95,voqc,50.0,3.0,qubits/i_13_num_qubits_3,60.0,48.0,10.0,70.0,-0.10451269149780273,11.0
96,qfast,50.0,3.0,qubits/i_13_num_qubits_3,24.0,32.0,27.0,51.0,-1.0734422206878662,8.0
97,pyzx,50.0,3.0,qubits/i_13_num_qubits_3,33.0,35.0,8.0,41.0,-0.06185269355773926,17.0
98,default,50.0,3.0,qubits/i_14_num_qubits_3,63.0,43.0,13.0,76.0,-4.76837158203125e-07,10.0
99,tket,50.0,3.0,qubits/i_14_num_qubits_3,46.0,30.0,11.0,57.0,-0.05081295967102051,7.0
100,qiskit,50.0,3.0,qubits/i_14_num_qubits_3,61.0,41.0,13.0,74.0,-0.019214153289794922,8.0
101,tpar,50.0,3.0,qubits/i_14_num_qubits_3,67.0,50.0,11.0,78.0,-0.07322287559509277,27.0
102,voqc,50.0,3.0,qubits/i_14_num_qubits_3,82.0,51.0,11.0,93.0,-0.10734724998474121,8.0
103,qfast,50.0,3.0,qubits/i_14_num_qubits_3,30.0,42.0,33.0,63.0,-2.219660520553589,10.0
104,pyzx,50.0,3.0,qubits/i_14_num_qubits_3,35.0,35.0,11.0,46.0,-0.06252884864807129,14.0
105,default,50.0,3.0,qubits/i_15_num_qubits_3,71.0,45.0,9.0,80.0,-4.76837158203125e-07,15.0
106,tket,50.0,3.0,qubits/i_15_num_qubits_3,52.0,30.0,5.0,57.0,-0.0544130802154541,9.0
107,qiskit,50.0,3.0,qubits/i_15_num_qubits_3,69.0,43.0,9.0,78.0,-0.018723249435424805,13.0
108,tpar,50.0,3.0,qubits/i_15_num_qubits_3,64.0,38.0,5.0,69.0,-0.07100772857666016,15.0
109,voqc,50.0,3.0,qubits/i_15_num_qubits_3,104.0,67.0,5.0,109.0,-0.11269664764404297,11.0
110,qfast,50.0,3.0,qubits/i_15_num_qubits_3,21.0,27.0,24.0,45.0,-0.3011815547943115,7.0
111,pyzx,50.0,3.0,qubits/i_15_num_qubits_3,34.0,29.0,5.0,39.0,-0.06159543991088867,14.0
112,default,50.0,3.0,qubits/i_16_num_qubits_3,61.0,46.0,13.0,74.0,-4.76837158203125e-07,14.0
113,tket,50.0,3.0,qubits/i_16_num_qubits_3,25.0,19.0,5.0,30.0,-0.050721168518066406,4.0
