,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,38.0,26.0,24.0,62.0,0.1,0.0,-0.043764591217041016,4.0
1,tket,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,18.0,13.0,8.0,26.0,0.1,0.0,-0.04060006141662598,2.0
2,qiskit,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,36.0,24.0,24.0,60.0,0.1,0.0,-0.10051441192626953,2.0
3,tpar,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,30.0,25.0,8.0,38.0,0.1,0.0,-0.04175543785095215,6.0
4,voqc,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,30.0,22.0,8.0,38.0,0.1,0.0,-0.041313886642456055,2.0
5,qfast,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,36.0,42.0,33.0,69.0,0.1,0.0,-0.04893231391906738,10.0
6,pyzx,50.0,4.0,default/cnot_pr/i_0_cnot_pr_0.1,24.0,20.0,8.0,32.0,0.1,0.0,-0.04052233695983887,6.0
7,default,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,77.0,49.0,7.0,84.0,0.1,0.0,-0.045583486557006836,6.0
8,tket,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,29.0,20.0,5.0,34.0,0.1,0.0,-0.04159998893737793,6.0
9,qiskit,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,77.0,49.0,7.0,84.0,0.1,0.0,-0.10291695594787598,6.0
10,tpar,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,51.0,32.0,5.0,56.0,0.1,0.0,-0.04384636878967285,8.0
11,voqc,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,86.0,60.0,5.0,91.0,0.1,0.0,-0.046524763107299805,6.0
12,qfast,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,25.0,30.0,25.0,50.0,0.1,0.0,-0.04517197608947754,7.0
13,pyzx,50.0,4.0,default/cnot_pr/i_1_cnot_pr_0.1,40.0,27.0,3.0,43.0,0.1,0.0,-0.04089069366455078,14.0
14,default,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,64.0,31.0,16.0,80.0,0.1,0.0,-0.04560232162475586,8.0
15,tket,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,45.0,25.0,10.0,55.0,0.1,0.0,-0.043488264083862305,8.0
16,qiskit,50.0,4.0,default/cnot_pr/i_2_cnot_pr_0.1,64.0,31.0,16.0,80.0,0.1,0.0,-0.04546332359313965,8.0
