,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/gate_count/i_0_cnt_50,65.0,35.0,11.0,76.0,0.0,0.0,-0.0452876091003418,10.0
1,tket,50.0,4.0,default/gate_count/i_0_cnt_50,33.0,16.0,5.0,38.0,0.0,0.0,-0.042116403579711914,5.0
2,qiskit,50.0,4.0,default/gate_count/i_0_cnt_50,63.0,33.0,11.0,74.0,0.0,0.0,-0.04463839530944824,8.0
3,tpar,50.0,4.0,default/gate_count/i_0_cnt_50,48.0,25.0,5.0,53.0,0.0,0.0,-0.042891502380371094,10.0
4,voqc,50.0,4.0,default/gate_count/i_0_cnt_50,67.0,36.0,5.0,72.0,0.0,0.0,-0.044092655181884766,6.0
5,qfast,50.0,4.0,default/gate_count/i_0_cnt_50,49.0,57.0,51.0,100.0,0.0,0.0,-0.1017453670501709,14.0
6,pyzx,50.0,4.0,default/gate_count/i_0_cnt_50,59.0,43.0,5.0,64.0,0.0,0.0,-0.04280495643615723,20.0
7,default,50.0,4.0,default/gate_count/i_1_cnt_50,57.0,39.0,17.0,74.0,0.0,0.0,-0.044209957122802734,8.0
8,tket,50.0,4.0,default/gate_count/i_1_cnt_50,36.0,23.0,11.0,47.0,0.0,0.0,-0.04235243797302246,7.0
9,qiskit,50.0,4.0,default/gate_count/i_1_cnt_50,57.0,39.0,17.0,74.0,0.0,0.0,-0.04448294639587402,8.0
10,tpar,50.0,4.0,default/gate_count/i_1_cnt_50,72.0,45.0,11.0,83.0,0.0,0.0,-0.04701113700866699,26.0
11,voqc,50.0,4.0,default/gate_count/i_1_cnt_50,63.0,40.0,11.0,74.0,0.0,0.0,-0.09622597694396973,8.0
12,qfast,50.0,4.0,default/gate_count/i_1_cnt_50,68.0,100.0,85.0,153.0,0.0,0.0,-0.05965924263000488,22.0
13,pyzx,50.0,4.0,default/gate_count/i_1_cnt_50,88.0,61.0,11.0,99.0,0.0,0.0,-0.045316457748413086,25.0
14,default,50.0,4.0,default/gate_count/i_2_cnt_50,56.0,33.0,12.0,68.0,0.0,0.0,-0.044595956802368164,17.0
15,tket,50.0,4.0,default/gate_count/i_2_cnt_50,42.0,25.0,6.0,48.0,0.0,0.0,-0.04270815849304199,10.0
16,qiskit,50.0,4.0,default/gate_count/i_2_cnt_50,54.0,32.0,12.0,66.0,0.0,0.0,-0.0442659854888916,15.0
17,tpar,50.0,4.0,default/gate_count/i_2_cnt_50,74.0,57.0,6.0,80.0,0.0,0.0,-0.09898543357849121,42.0
18,voqc,50.0,4.0,default/gate_count/i_2_cnt_50,76.0,44.0,6.0,82.0,0.0,0.0,-0.04612374305725098,15.0
19,qfast,50.0,4.0,default/gate_count/i_2_cnt_50,66.0,92.0,73.0,139.0,0.0,0.0,-0.057935476303100586,20.0
20,pyzx,50.0,4.0,default/gate_count/i_2_cnt_50,73.0,42.0,6.0,79.0,0.0,0.0,-0.04364371299743652,20.0
21,default,50.0,4.0,default/gate_count/i_3_cnt_50,61.0,34.0,15.0,76.0,0.0,0.0,-0.0444486141204834,10.0
22,tket,50.0,4.0,default/gate_count/i_3_cnt_50,44.0,29.0,12.0,56.0,0.0,0.0,-0.0435633659362793,8.0
23,qiskit,50.0,4.0,default/gate_count/i_3_cnt_50,61.0,34.0,15.0,76.0,0.0,0.0,-0.04482698440551758,10.0
24,tpar,50.0,4.0,default/gate_count/i_3_cnt_50,72.0,45.0,7.0,79.0,0.0,0.0,-0.047438621520996094,38.0
25,voqc,50.0,4.0,default/gate_count/i_3_cnt_50,77.0,44.0,7.0,84.0,0.0,0.0,-0.0461122989654541,10.0
