,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,41.0,14.0,70.0,0.0,0.0,-0.045246124267578125,13.0
1,tket,50.0,3.0,default/qubits/i_0_num_qubits_3,46.0,29.0,4.0,50.0,0.0,0.0,-0.04399728775024414,8.0
2,qiskit,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,41.0,14.0,70.0,0.0,0.0,-0.045063018798828125,13.0
3,tpar,50.0,3.0,default/qubits/i_0_num_qubits_3,56.0,37.0,4.0,60.0,0.0,0.0,-0.04461097717285156,20.0
4,voqc,50.0,3.0,default/qubits/i_0_num_qubits_3,77.0,54.0,4.0,81.0,0.0,0.0,-0.10245490074157715,13.0
5,qfast,50.0,3.0,default/qubits/i_0_num_qubits_3,25.0,24.0,13.0,38.0,0.0,0.0,-0.04377865791320801,6.0
6,pyzx,50.0,3.0,default/qubits/i_0_num_qubits_3,40.0,33.0,4.0,44.0,0.0,0.0,-0.04132390022277832,14.0
7,default,50.0,3.0,default/qubits/i_1_num_qubits_3,64.0,57.0,16.0,80.0,0.0,0.0,-0.04595804214477539,12.0
8,tket,50.0,3.0,default/qubits/i_1_num_qubits_3,45.0,25.0,8.0,53.0,0.0,0.0,-0.04331398010253906,6.0
9,qiskit,50.0,3.0,default/qubits/i_1_num_qubits_3,62.0,56.0,16.0,78.0,0.0,0.0,-0.0453495979309082,10.0
10,tpar,50.0,3.0,default/qubits/i_1_num_qubits_3,62.0,55.0,8.0,70.0,0.0,0.0,-0.04493355751037598,22.0
11,voqc,50.0,3.0,default/qubits/i_1_num_qubits_3,74.0,50.0,8.0,82.0,0.0,0.0,-0.045816898345947266,8.0
12,qfast,50.0,3.0,default/qubits/i_1_num_qubits_3,34.0,34.0,16.0,50.0,0.0,0.0,-0.04625678062438965,8.0
13,pyzx,50.0,3.0,default/qubits/i_1_num_qubits_3,35.0,27.0,8.0,43.0,0.0,0.0,-0.041301727294921875,7.0
14,default,50.0,3.0,default/qubits/i_2_num_qubits_3,61.0,49.0,13.0,74.0,0.0,0.0,-0.1016995906829834,13.0
15,tket,50.0,3.0,default/qubits/i_2_num_qubits_3,48.0,29.0,5.0,53.0,0.0,0.0,-0.04328465461730957,8.0
16,qiskit,50.0,3.0,default/qubits/i_2_num_qubits_3,61.0,49.0,13.0,74.0,0.0,0.0,-0.04487490653991699,13.0
17,tpar,50.0,3.0,default/qubits/i_2_num_qubits_3,51.0,42.0,5.0,56.0,0.0,0.0,-0.04351091384887695,16.0
18,voqc,50.0,3.0,default/qubits/i_2_num_qubits_3,87.0,73.0,5.0,92.0,0.0,0.0,-0.046329498291015625,11.0
19,qfast,50.0,3.0,default/qubits/i_2_num_qubits_3,19.0,22.0,13.0,32.0,0.0,0.0,-0.04311490058898926,5.0
20,pyzx,50.0,3.0,default/qubits/i_2_num_qubits_3,45.0,31.0,5.0,50.0,0.0,0.0,-0.04129838943481445,12.0
21,default,50.0,3.0,default/qubits/i_3_num_qubits_3,58.0,39.0,12.0,70.0,0.0,0.0,-0.045052528381347656,15.0
22,tket,50.0,3.0,default/qubits/i_3_num_qubits_3,37.0,27.0,10.0,47.0,0.0,0.0,-0.04267716407775879,6.0
23,qiskit,50.0,3.0,default/qubits/i_3_num_qubits_3,58.0,39.0,12.0,70.0,0.0,0.0,-0.04537510871887207,15.0
24,tpar,50.0,3.0,default/qubits/i_3_num_qubits_3,57.0,42.0,4.0,61.0,0.0,0.0,-0.10236883163452148,25.0
25,voqc,50.0,3.0,default/qubits/i_3_num_qubits_3,60.0,44.0,6.0,66.0,0.0,0.0,-0.04428362846374512,15.0
26,qfast,50.0,3.0,default/qubits/i_3_num_qubits_3,24.0,22.0,14.0,38.0,0.0,0.0,-0.04377603530883789,6.0
27,pyzx,50.0,3.0,default/qubits/i_3_num_qubits_3,35.0,31.0,4.0,39.0,0.0,0.0,-0.040686845779418945,9.0
28,default,50.0,3.0,default/qubits/i_4_num_qubits_3,65.0,39.0,11.0,76.0,0.0,0.0,-0.04530501365661621,14.0
29,tket,50.0,3.0,default/qubits/i_4_num_qubits_3,57.0,37.0,13.0,70.0,0.0,0.0,-0.04462695121765137,10.0
30,qiskit,50.0,3.0,default/qubits/i_4_num_qubits_3,65.0,39.0,11.0,76.0,0.0,0.0,-0.04497027397155762,14.0
31,tpar,50.0,3.0,default/qubits/i_4_num_qubits_3,71.0,50.0,9.0,80.0,0.0,0.0,-0.04639744758605957,22.0
32,voqc,50.0,3.0,default/qubits/i_4_num_qubits_3,84.0,53.0,9.0,93.0,0.0,0.0,-0.04757523536682129,12.0
