,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
0,default,50.0,4.0,default/tprob/i_0_t_pr_0.1,64.0,43.0,8.0,72.0,0.0,0.1,-0.044722795486450195,18.0
1,tket,50.0,4.0,default/tprob/i_0_t_pr_0.1,51.0,32.0,4.0,55.0,0.0,0.1,-0.043356895446777344,10.0
2,qiskit,50.0,4.0,default/tprob/i_0_t_pr_0.1,62.0,41.0,8.0,70.0,0.0,0.1,-0.04539155960083008,16.0
3,tpar,50.0,4.0,default/tprob/i_0_t_pr_0.1,75.0,56.0,4.0,79.0,0.0,0.1,-0.10312938690185547,34.0
4,voqc,50.0,4.0,default/tprob/i_0_t_pr_0.1,93.0,64.0,4.0,97.0,0.0,0.1,-0.047177791595458984,16.0
5,qfast,50.0,4.0,default/tprob/i_0_t_pr_0.1,70.0,96.0,74.0,144.0,0.0,0.1,-0.05930662155151367,21.0
6,pyzx,50.0,4.0,default/tprob/i_0_t_pr_0.1,95.0,58.0,4.0,99.0,0.0,0.1,-0.0441741943359375,29.0
7,default,50.0,4.0,default/tprob/i_1_t_pr_0.1,72.0,37.0,8.0,80.0,0.0,0.1,-0.04563164710998535,17.0
8,tket,50.0,4.0,default/tprob/i_1_t_pr_0.1,39.0,28.0,4.0,43.0,0.0,0.1,-0.0426023006439209,11.0
9,qiskit,50.0,4.0,default/tprob/i_1_t_pr_0.1,72.0,37.0,8.0,80.0,0.0,0.1,-0.04616236686706543,17.0
10,tpar,50.0,4.0,default/tprob/i_1_t_pr_0.1,82.0,51.0,4.0,86.0,0.0,0.1,-0.048005104064941406,40.0
11,voqc,50.0,4.0,default/tprob/i_1_t_pr_0.1,96.0,54.0,4.0,100.0,0.0,0.1,-0.04741525650024414,17.0
12,qfast,50.0,4.0,default/tprob/i_1_t_pr_0.1,57.0,72.0,62.0,119.0,0.0,0.1,-0.055909156799316406,17.0
13,pyzx,50.0,4.0,default/tprob/i_1_t_pr_0.1,70.0,36.0,4.0,74.0,0.0,0.1,-0.04320859909057617,23.0
14,default,50.0,4.0,default/tprob/i_2_t_pr_0.1,88.0,44.0,6.0,94.0,0.0,0.1,-0.04632925987243652,9.0
15,tket,50.0,4.0,default/tprob/i_2_t_pr_0.1,41.0,22.0,7.0,48.0,0.0,0.1,-0.042638301849365234,7.0
16,qiskit,50.0,4.0,default/tprob/i_2_t_pr_0.1,88.0,44.0,6.0,94.0,0.0,0.1,-0.04639554023742676,9.0
17,tpar,50.0,4.0,default/tprob/i_2_t_pr_0.1,61.0,35.0,4.0,65.0,0.0,0.1,-0.04600858688354492,15.0
18,voqc,50.0,4.0,default/tprob/i_2_t_pr_0.1,108.0,59.0,4.0,112.0,0.0,0.1,-0.048110246658325195,9.0
19,qfast,50.0,4.0,default/tprob/i_2_t_pr_0.1,23.0,28.0,20.0,43.0,0.0,0.1,-0.04449009895324707,6.0
20,pyzx,50.0,4.0,default/tprob/i_2_t_pr_0.1,34.0,17.0,2.0,36.0,0.0,0.1,-0.041161537170410156,8.0
21,default,50.0,4.0,default/tprob/i_3_t_pr_0.1,58.0,39.0,8.0,66.0,0.0,0.1,-0.04482913017272949,21.0
