,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
0,default,50.0,4.0,tprob/i_0_t_pr_0.1,66.0,38.0,6.0,72.0,-9.5367431640625e-07,14.0
1,tket,50.0,4.0,tprob/i_0_t_pr_0.1,45.0,27.0,4.0,49.0,-0.1228029727935791,7.0
2,qiskit,50.0,4.0,tprob/i_0_t_pr_0.1,64.0,34.0,6.0,70.0,-0.02329087257385254,12.0
3,tpar,50.0,4.0,tprob/i_0_t_pr_0.1,79.0,63.0,4.0,83.0,-0.13452911376953125,41.0
4,voqc,50.0,4.0,tprob/i_0_t_pr_0.1,64.0,37.0,4.0,68.0,-0.148529052734375,10.0
5,qfast,50.0,4.0,tprob/i_0_t_pr_0.1,39.0,55.0,53.0,92.0,-20.905200958251953,13.0
6,pyzx,50.0,4.0,tprob/i_0_t_pr_0.1,32.0,24.0,4.0,36.0,-0.08182096481323242,14.0
7,default,50.0,4.0,tprob/i_0_t_pr_0.2,73.0,38.0,15.0,88.0,0.0,9.0
8,tket,50.0,4.0,tprob/i_0_t_pr_0.2,26.0,14.0,3.0,29.0,-0.1050710678100586,3.0
9,qiskit,50.0,4.0,tprob/i_0_t_pr_0.2,73.0,38.0,15.0,88.0,-0.025355100631713867,9.0
10,tpar,50.0,4.0,tprob/i_0_t_pr_0.2,56.0,31.0,3.0,59.0,-0.09508585929870605,17.0
11,voqc,50.0,4.0,tprob/i_0_t_pr_0.2,89.0,48.0,3.0,92.0,-0.1390061378479004,9.0
12,qfast,50.0,4.0,tprob/i_0_t_pr_0.2,30.0,49.0,40.0,70.0,-15.28238582611084,10.0
13,pyzx,50.0,4.0,tprob/i_0_t_pr_0.2,33.0,27.0,3.0,36.0,-0.07765412330627441,16.0
14,default,50.0,4.0,tprob/i_0_t_pr_0.3,52.0,36.0,14.0,66.0,0.0,13.0
15,tket,50.0,4.0,tprob/i_0_t_pr_0.3,46.0,31.0,6.0,52.0,-0.10324501991271973,9.0
16,qiskit,50.0,4.0,tprob/i_0_t_pr_0.3,50.0,36.0,14.0,64.0,-0.026374340057373047,11.0
17,tpar,50.0,4.0,tprob/i_0_t_pr_0.3,68.0,55.0,6.0,74.0,-0.11287212371826172,35.0
18,voqc,50.0,4.0,tprob/i_0_t_pr_0.3,56.0,38.0,6.0,62.0,-0.14839410781860352,11.0
19,qfast,50.0,4.0,tprob/i_0_t_pr_0.3,27.0,45.0,39.0,66.0,-10.795180082321167,9.0
20,pyzx,50.0,4.0,tprob/i_0_t_pr_0.3,33.0,34.0,6.0,39.0,-0.11374688148498535,16.0
21,default,50.0,4.0,tprob/i_0_t_pr_0.4,66.0,33.0,16.0,82.0,-9.5367431640625e-07,8.0
22,tket,50.0,4.0,tprob/i_0_t_pr_0.4,60.0,35.0,8.0,68.0,-0.27887511253356934,7.0
23,qiskit,50.0,4.0,tprob/i_0_t_pr_0.4,66.0,33.0,16.0,82.0,-0.03226613998413086,8.0
24,tpar,50.0,4.0,tprob/i_0_t_pr_0.4,49.0,30.0,8.0,57.0,-0.17924928665161133,12.0
25,voqc,50.0,4.0,tprob/i_0_t_pr_0.4,84.0,45.0,8.0,92.0,-0.2680480480194092,8.0
26,qfast,50.0,4.0,tprob/i_0_t_pr_0.4,72.0,113.0,92.0,164.0,-21.165794134140015,24.0
27,pyzx,50.0,4.0,tprob/i_0_t_pr_0.4,41.0,25.0,8.0,49.0,-0.09636306762695312,14.0
28,default,50.0,4.0,tprob/i_0_t_pr_0.5,41.0,25.0,27.0,68.0,-1.1920928955078125e-06,7.0
29,tket,50.0,4.0,tprob/i_0_t_pr_0.5,32.0,19.0,7.0,39.0,-0.09301090240478516,5.0
30,qiskit,50.0,4.0,tprob/i_0_t_pr_0.5,41.0,25.0,27.0,68.0,-0.03025221824645996,7.0
31,tpar,50.0,4.0,tprob/i_0_t_pr_0.5,55.0,37.0,9.0,64.0,-0.1543872356414795,23.0
32,voqc,50.0,4.0,tprob/i_0_t_pr_0.5,56.0,30.0,9.0,65.0,-0.1789250373840332,7.0
33,qfast,50.0,4.0,tprob/i_0_t_pr_0.5,30.0,53.0,42.0,72.0,-19.415500164031982,10.0
34,pyzx,50.0,4.0,tprob/i_0_t_pr_0.5,29.0,23.0,7.0,36.0,-0.10570287704467773,11.0
35,default,50.0,4.0,tprob/i_0_t_pr_0.6,31.0,32.0,29.0,60.0,-9.5367431640625e-07,11.0
36,tket,50.0,4.0,tprob/i_0_t_pr_0.6,43.0,31.0,13.0,56.0,-0.22662806510925293,10.0
37,qiskit,50.0,4.0,tprob/i_0_t_pr_0.6,31.0,32.0,29.0,60.0,-0.028498172760009766,11.0
38,tpar,50.0,4.0,tprob/i_0_t_pr_0.6,61.0,47.0,9.0,70.0,-0.4594581127166748,38.0
39,voqc,50.0,4.0,tprob/i_0_t_pr_0.6,46.0,35.0,9.0,55.0,-0.1992199420928955,11.0
40,qfast,50.0,4.0,tprob/i_0_t_pr_0.6,57.0,82.0,77.0,134.0,-21.4888117313385,19.0
41,pyzx,50.0,4.0,tprob/i_0_t_pr_0.6,41.0,33.0,7.0,48.0,-0.08230113983154297,23.0
42,default,50.0,4.0,tprob/i_0_t_pr_0.7,23.0,21.0,31.0,54.0,-9.5367431640625e-07,10.0
43,tket,50.0,4.0,tprob/i_0_t_pr_0.7,22.0,19.0,5.0,27.0,-0.15579819679260254,7.0
44,qiskit,50.0,4.0,tprob/i_0_t_pr_0.7,23.0,21.0,31.0,54.0,-0.016376018524169922,10.0
45,tpar,50.0,4.0,tprob/i_0_t_pr_0.7,42.0,38.0,5.0,47.0,-0.08859491348266602,33.0
46,voqc,50.0,4.0,tprob/i_0_t_pr_0.7,25.0,23.0,5.0,30.0,-0.12143325805664062,8.0
47,qfast,50.0,4.0,tprob/i_0_t_pr_0.7,60.0,81.0,78.0,138.0,-67.02083897590637,20.0
48,pyzx,50.0,4.0,tprob/i_0_t_pr_0.7,34.0,26.0,5.0,39.0,-0.08820605278015137,16.0
49,default,50.0,4.0,tprob/i_0_t_pr_0.8,24.0,27.0,38.0,62.0,0.0,5.0
50,tket,50.0,4.0,tprob/i_0_t_pr_0.8,23.0,21.0,10.0,33.0,-0.3332390785217285,3.0
51,qiskit,50.0,4.0,tprob/i_0_t_pr_0.8,24.0,27.0,38.0,62.0,-0.017381906509399414,5.0
52,tpar,50.0,4.0,tprob/i_0_t_pr_0.8,37.0,25.0,6.0,43.0,-0.09662818908691406,13.0
53,voqc,50.0,4.0,tprob/i_0_t_pr_0.8,45.0,28.0,6.0,51.0,-0.1610879898071289,5.0
54,qfast,50.0,4.0,tprob/i_0_t_pr_0.8,54.0,67.0,68.0,122.0,-31.760901927947998,18.0
55,pyzx,50.0,4.0,tprob/i_0_t_pr_0.8,34.0,28.0,6.0,40.0,-0.0741739273071289,13.0
56,default,50.0,4.0,tprob/i_0_t_pr_0.9,6.0,18.0,46.0,52.0,-1.1920928955078125e-06,3.0
57,tket,50.0,4.0,tprob/i_0_t_pr_0.9,10.0,8.0,4.0,14.0,-0.06581997871398926,2.0
58,qiskit,50.0,4.0,tprob/i_0_t_pr_0.9,6.0,18.0,46.0,52.0,-0.013602018356323242,3.0
59,tpar,50.0,4.0,tprob/i_0_t_pr_0.9,13.0,12.0,4.0,17.0,-0.16138505935668945,5.0
60,voqc,50.0,4.0,tprob/i_0_t_pr_0.9,14.0,13.0,4.0,18.0,-0.1393442153930664,3.0
61,qfast,50.0,4.0,tprob/i_0_t_pr_0.9,15.0,17.0,21.0,36.0,-13.494065761566162,5.0
62,pyzx,50.0,4.0,tprob/i_0_t_pr_0.9,16.0,14.0,4.0,20.0,-0.08908534049987793,4.0
