idx,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,two_qubit_count
0  ,default  ,10.0          ,4.0         ,0.0    ,14.0          ,8.0  ,2.0         ,16.0              ,3.0
1  ,tket     ,10.0          ,4.0         ,0.0    ,44.0          ,20.0 ,6.0         ,50.0              ,2.0
2  ,qiskit   ,10.0          ,4.0         ,0.0    ,14.0          ,8.0  ,2.0         ,16.0              ,3.0
3  ,tpar     ,10.0          ,4.0         ,0.0    ,33.0          ,26.0 ,2.0         ,35.0              ,22.0
4  ,voqc     ,10.0          ,4.0         ,0.0    ,23.0          ,12.0 ,2.0         ,25.0              ,3.0
5  ,qfast    ,10.0          ,4.0         ,0.0    ,15.0          ,25.0 ,21.0        ,36.0              ,5.0
6  ,pyzx     ,10.0          ,4.0         ,0.0    ,25.0          ,12.0 ,2.0         ,27.0              ,5.0
7  ,default  ,10.0          ,4.0         ,1.0    ,8.0           ,6.0  ,4.0         ,12.0              ,4.0
8  ,tket     ,10.0          ,4.0         ,1.0    ,12.0          ,10.0 ,2.0         ,14.0              ,3.0
9  ,qiskit   ,10.0          ,4.0         ,1.0    ,8.0           ,6.0  ,4.0         ,12.0              ,4.0
10 ,tpar     ,10.0          ,4.0         ,1.0    ,18.0          ,13.0 ,2.0         ,20.0              ,13.0
11 ,voqc     ,10.0          ,4.0         ,1.0    ,11.0          ,8.0  ,2.0         ,13.0              ,4.0
12 ,qfast    ,10.0          ,4.0         ,1.0    ,12.0          ,17.0 ,18.0        ,30.0              ,4.0
13 ,pyzx     ,10.0          ,4.0         ,1.0    ,21.0          ,13.0 ,2.0         ,23.0              ,6.0
14 ,default  ,20.0          ,4.0         ,0.0    ,24.0          ,15.0 ,4.0         ,28.0              ,4.0
15 ,tket     ,20.0          ,4.0         ,0.0    ,44.0          ,22.0 ,2.0         ,46.0              ,4.0
16 ,qiskit   ,20.0          ,4.0         ,0.0    ,24.0          ,15.0 ,4.0         ,28.0              ,4.0
17 ,tpar     ,20.0          ,4.0         ,0.0    ,47.0          ,35.0 ,2.0         ,49.0              ,30.0
18 ,voqc     ,20.0          ,4.0         ,0.0    ,30.0          ,22.0 ,2.0         ,32.0              ,4.0
19 ,qfast    ,20.0          ,4.0         ,0.0    ,51.0          ,54.0 ,67.0        ,118.0             ,17.0
20 ,pyzx     ,20.0          ,4.0         ,0.0    ,41.0          ,27.0 ,2.0         ,43.0              ,13.0
21 ,default  ,20.0          ,4.0         ,1.0    ,30.0          ,20.0 ,4.0         ,34.0              ,6.0
22 ,tket     ,20.0          ,4.0         ,1.0    ,32.0          ,22.0 ,2.0         ,34.0              ,6.0
23 ,qiskit   ,20.0          ,4.0         ,1.0    ,30.0          ,20.0 ,4.0         ,34.0              ,6.0
24 ,tpar     ,20.0          ,4.0         ,1.0    ,40.0          ,28.0 ,2.0         ,42.0              ,19.0
25 ,voqc     ,20.0          ,4.0         ,1.0    ,40.0          ,24.0 ,2.0         ,42.0              ,6.0
26 ,qfast    ,20.0          ,4.0         ,1.0    ,39.0          ,57.0 ,53.0        ,92.0              ,13.0
27 ,pyzx     ,20.0          ,4.0         ,1.0    ,41.0          ,25.0 ,2.0         ,43.0              ,7.0
28 ,default  ,30.0          ,4.0         ,0.0    ,34.0          ,21.0 ,8.0         ,42.0              ,10.0
29 ,tket     ,30.0          ,4.0         ,0.0    ,44.0          ,33.0 ,6.0         ,50.0              ,6.0
30 ,qiskit   ,30.0          ,4.0         ,0.0    ,32.0          ,19.0 ,8.0         ,40.0              ,8.0
31 ,tpar     ,30.0          ,4.0         ,0.0    ,43.0          ,36.0 ,6.0         ,49.0              ,24.0
32 ,voqc     ,30.0          ,4.0         ,0.0    ,45.0          ,25.0 ,6.0         ,51.0              ,8.0
33 ,qfast    ,30.0          ,4.0         ,0.0    ,51.0          ,70.0 ,67.0        ,118.0             ,17.0
34 ,pyzx     ,30.0          ,4.0         ,0.0    ,55.0          ,34.0 ,6.0         ,61.0              ,17.0
35 ,default  ,30.0          ,4.0         ,1.0    ,34.0          ,25.0 ,10.0        ,44.0              ,9.0
36 ,tket     ,30.0          ,4.0         ,1.0    ,65.0          ,42.0 ,4.0         ,69.0              ,8.0
37 ,qiskit   ,30.0          ,4.0         ,1.0    ,34.0          ,25.0 ,10.0        ,44.0              ,9.0
38 ,tpar     ,30.0          ,4.0         ,1.0    ,49.0          ,34.0 ,4.0         ,53.0              ,23.0
39 ,voqc     ,30.0          ,4.0         ,1.0    ,58.0          ,39.0 ,4.0         ,62.0              ,9.0
40 ,qfast    ,30.0          ,4.0         ,1.0    ,54.0          ,65.0 ,72.0        ,126.0             ,18.0
41 ,pyzx     ,30.0          ,4.0         ,1.0    ,60.0          ,43.0 ,4.0         ,64.0              ,16.0
42 ,default  ,40.0          ,4.0         ,0.0    ,55.0          ,30.0 ,11.0        ,66.0              ,4.0
43 ,tket     ,40.0          ,4.0         ,0.0    ,45.0          ,20.0 ,3.0         ,48.0              ,3.0
44 ,qiskit   ,40.0          ,4.0         ,0.0    ,55.0          ,30.0 ,11.0        ,66.0              ,4.0
45 ,tpar     ,40.0          ,4.0         ,0.0    ,57.0          ,30.0 ,3.0         ,60.0              ,14.0
46 ,voqc     ,40.0          ,4.0         ,0.0    ,67.0          ,30.0 ,3.0         ,70.0              ,4.0
47 ,qfast    ,40.0          ,4.0         ,0.0    ,21.0          ,28.0 ,29.0        ,50.0              ,7.0
48 ,pyzx     ,40.0          ,4.0         ,0.0    ,23.0          ,19.0 ,3.0         ,26.0              ,6.0
49 ,default  ,40.0          ,4.0         ,1.0    ,44.0          ,23.0 ,14.0        ,58.0              ,7.0
50 ,tket     ,40.0          ,4.0         ,1.0    ,48.0          ,25.0 ,8.0         ,56.0              ,5.0
51 ,qiskit   ,40.0          ,4.0         ,1.0    ,42.0          ,23.0 ,14.0        ,56.0              ,5.0
52 ,tpar     ,40.0          ,4.0         ,1.0    ,54.0          ,42.0 ,8.0         ,62.0              ,26.0
53 ,voqc     ,40.0          ,4.0         ,1.0    ,57.0          ,31.0 ,8.0         ,65.0              ,5.0
54 ,qfast    ,40.0          ,4.0         ,1.0    ,54.0          ,73.0 ,70.0        ,124.0             ,18.0
55 ,pyzx     ,40.0          ,4.0         ,1.0    ,63.0          ,37.0 ,8.0         ,71.0              ,16.0
56 ,default  ,50.0          ,4.0         ,0.0    ,68.0          ,31.0 ,10.0        ,78.0              ,12.0
57 ,tket     ,50.0          ,4.0         ,0.0    ,65.0          ,39.0 ,6.0         ,71.0              ,6.0
58 ,qiskit   ,50.0          ,4.0         ,0.0    ,64.0          ,28.0 ,10.0        ,74.0              ,8.0
59 ,tpar     ,50.0          ,4.0         ,0.0    ,53.0          ,32.0 ,6.0         ,59.0              ,16.0
60 ,voqc     ,50.0          ,4.0         ,0.0    ,71.0          ,41.0 ,6.0         ,77.0              ,8.0
61 ,qfast    ,50.0          ,4.0         ,0.0    ,30.0          ,41.0 ,42.0        ,72.0              ,10.0
62 ,pyzx     ,50.0          ,4.0         ,0.0    ,59.0          ,36.0 ,6.0         ,65.0              ,13.0
63 ,default  ,50.0          ,4.0         ,1.0    ,64.0          ,40.0 ,12.0        ,76.0              ,15.0
64 ,tket     ,50.0          ,4.0         ,1.0    ,83.0          ,39.0 ,6.0         ,89.0              ,13.0
65 ,qiskit   ,50.0          ,4.0         ,1.0    ,64.0          ,40.0 ,12.0        ,76.0              ,15.0
66 ,tpar     ,50.0          ,4.0         ,1.0    ,70.0          ,39.0 ,6.0         ,76.0              ,31.0
67 ,voqc     ,50.0          ,4.0         ,1.0    ,87.0          ,53.0 ,6.0         ,93.0              ,15.0
68 ,qfast    ,50.0          ,4.0         ,1.0    ,63.0          ,101.0,85.0        ,148.0             ,21.0
69 ,pyzx     ,50.0          ,4.0         ,1.0    ,82.0          ,45.0 ,6.0         ,88.0              ,23.0
70 ,default  ,60.0          ,4.0         ,0.0    ,83.0          ,47.0 ,13.0        ,96.0              ,13.0
71 ,tket     ,60.0          ,4.0         ,0.0    ,118.0         ,57.0 ,11.0        ,129.0             ,10.0
72 ,qiskit   ,60.0          ,4.0         ,0.0    ,81.0          ,47.0 ,13.0        ,94.0              ,11.0
73 ,tpar     ,60.0          ,4.0         ,0.0    ,79.0          ,55.0 ,11.0        ,90.0              ,32.0
74 ,voqc     ,60.0          ,4.0         ,0.0    ,100.0         ,55.0 ,11.0        ,111.0             ,11.0
75 ,qfast    ,60.0          ,4.0         ,0.0    ,84.0          ,134.0,106.0       ,190.0             ,28.0
76 ,pyzx     ,60.0          ,4.0         ,0.0    ,73.0          ,40.0 ,11.0        ,84.0              ,18.0
77 ,default  ,60.0          ,4.0         ,1.0    ,79.0          ,39.0 ,15.0        ,94.0              ,12.0
78 ,tket     ,60.0          ,4.0         ,1.0    ,82.0          ,52.0 ,9.0         ,91.0              ,12.0
79 ,qiskit   ,60.0          ,4.0         ,1.0    ,79.0          ,39.0 ,15.0        ,94.0              ,12.0
80 ,tpar     ,60.0          ,4.0         ,1.0    ,82.0          ,47.0 ,9.0         ,91.0              ,29.0
81 ,voqc     ,60.0          ,4.0         ,1.0    ,100.0         ,51.0 ,9.0         ,109.0             ,12.0
82 ,qfast    ,60.0          ,4.0         ,1.0    ,81.0          ,133.0,107.0       ,188.0             ,27.0
83 ,pyzx     ,60.0          ,4.0         ,1.0    ,97.0          ,64.0 ,9.0         ,106.0             ,29.0
84 ,default  ,70.0          ,4.0         ,0.0    ,99.0          ,50.0 ,15.0        ,114.0             ,16.0
85 ,tket     ,70.0          ,4.0         ,0.0    ,136.0         ,67.0 ,12.0        ,148.0             ,13.0
86 ,qiskit   ,70.0          ,4.0         ,0.0    ,99.0          ,50.0 ,15.0        ,114.0             ,16.0
87 ,tpar     ,70.0          ,4.0         ,0.0    ,126.0         ,83.0 ,9.0         ,135.0             ,62.0
88 ,voqc     ,70.0          ,4.0         ,0.0    ,112.0         ,66.0 ,9.0         ,121.0             ,16.0
89 ,qfast    ,70.0          ,4.0         ,0.0    ,84.0          ,110.0,110.0       ,194.0             ,28.0
90 ,pyzx     ,70.0          ,4.0         ,0.0    ,87.0          ,60.0 ,9.0         ,96.0              ,28.0
91 ,default  ,70.0          ,4.0         ,1.0    ,81.0          ,45.0 ,21.0        ,102.0             ,16.0
92 ,tket     ,70.0          ,4.0         ,1.0    ,114.0         ,60.0 ,7.0         ,121.0             ,11.0
93 ,qiskit   ,70.0          ,4.0         ,1.0    ,79.0          ,43.0 ,21.0        ,100.0             ,14.0
94 ,tpar     ,70.0          ,4.0         ,1.0    ,93.0          ,67.0 ,7.0         ,100.0             ,37.0
95 ,voqc     ,70.0          ,4.0         ,1.0    ,94.0          ,48.0 ,7.0         ,101.0             ,14.0
96 ,qfast    ,70.0          ,4.0         ,1.0    ,75.0          ,110.0,97.0        ,172.0             ,25.0
97 ,pyzx     ,70.0          ,4.0         ,1.0    ,70.0          ,43.0 ,7.0         ,77.0              ,19.0
